Date,Amount,Description,Category
2025-10-23,8.38,PAYPAL *EPIC GAMES,shopping
2025-10-23,-235.16,Refund: Visa Dda Ref 444500 Sams Club 8276,shopping
2025-10-24,33.40,CIRCLE K 03228,transport
2025-10-24,22.28,KROGER #785,groceries
2025-10-25,-15.99,Refund: KROGER #785,groceries
2025-10-25,39.23,WM SUPERCENTER #4524,shopping
2025-10-25,14.63,KROGER #785,groceries
2025-10-26,25.00,WALGREENS #4163,gym
2025-10-27,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-27,-200.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-27,1.67,Circle K 03228,transport
2025-10-28,2.51,Circle K 03228,transport
2025-10-29,66.08,WM SUPERCENTER #4524,shopping
2025-10-29,0.99,APPLE.COM/BILL,bills
2025-10-29,4.90,Kroger 785 4915A Dixie,groceries
2025-10-30,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-30,10.67,Target T 1513,shopping
2025-10-30,10.30,Circle K 03228,transport
2025-10-31,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-10-31,20.14,Target Card Srvc Payment,shopping
2025-10-31,300.00,Venmo Payment,shopping
2025-10-31,200.00,Affirm Inc Affirm Pay,shopping
2025-11-01,15.89,PAYPAL *STEAM GAMES,entertainment
2025-11-01,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-02,-200.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-02,10.59,NVIDIA CORPORATION,shopping
2025-11-03,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-03,120.07,Venmo Payment,shopping
2025-11-03,18.82,Wal Mart 4524,groceries
2025-11-04,4.23,PAYPAL *STEAM GAMES,entertainment
2025-11-04,14.96,Wal Mart 4524,groceries
2025-11-05,6.63,Cinemark 1092 Boxcon,entertainment
2025-11-06,9.29,Circle K 03228,transport
2025-11-07,5.25,PAYPAL *STEAM GAMES,entertainment
2025-11-07,5.25,PAYPAL *STEAM GAMES,entertainment
2025-11-07,5.25,PAYPAL *STEAM GAMES,entertainment
2025-11-07,30.18,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2025-11-08,73.98,PAYPAL *99 NIGHTS M,shopping
2025-11-10,7.40,PAYPAL *STEAM GAMES,entertainment
2025-11-10,10.00,Venmo Payment,shopping
2025-11-10,21.20,Five Below 7165,shopping
2025-11-10,3.64,Jimmy Johns 4387,fastfood
2025-11-10,1.67,Circle K 03228,transport
2025-11-11,-3.13,Refund: CREDIT-CASH BACK REWARD,shopping
2025-11-11,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-12,31.78,PAYPAL *STEAM GAMES,entertainment
2025-11-12,7.20,Wal Mart 4524,groceries
2025-11-12,12.94,Wal Mart 4524,groceries
2025-11-12,7.61,Circle K 03228,transport
2025-11-13,1535.94,SP NZXT.COM,shopping
2025-11-13,34.02,INTEREST CHARGE:PURCHASES,bills
2025-11-14,160.54,SAMS CLUB #8276,shopping
2025-11-14,20.01,CULVERS,shopping
2025-11-17,41.85,High Spirit Liquor,shopping
2025-11-19,9.99,GOOGLE *YouTube Member,shopping
2025-11-19,-17.56,Refund: CREDIT-CASH BACK REWARD,shopping
2025-11-19,22.00,Venmo Payment,shopping
2025-11-20,73.13,SP YEEPS.COM,shopping
2025-11-20,6.28,Wal Mart 4524,groceries
2025-11-21,76.68,AMAZON MKTPL*B055U36F2,shopping
2025-11-21,30.63,AMAZON MKTPL*B07R25DQ1,shopping
2025-11-21,26.53,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2025-11-23,-30.63,Refund: AMAZON MKTPLACE PMTS,shopping
2025-11-24,10.00,PAYPAL *PATREON MEMBERSH,entertainment
2025-11-24,44.48,AMAZON MKTPL*B21XN8T31,shopping
2025-11-24,13.95,Wal Mart 4524,groceries
2025-11-24,22.00,Venmo Payment,shopping
2025-11-24,7.93,Circle K 03228,transport
2025-11-25,21.20,Five Below 7165,shopping
2025-11-25,22.37,Five Below 7165,shopping
2025-11-26,12.83,Circle K 03228,transport
2025-11-28,25.63,Pizza Hut 036951,fastfood
2025-11-29,0.99,APPLE.COM/BILL,bills
2025-11-29,-302.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-29,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-11-30,10.61,PAYPAL *KINGUINDIGI,shopping
2025-12-01,7.99,PP*HUMBLEBUNDL HUMBLEBUND,shopping
2025-12-01,15.94,PP*HUMBLEBUNDL HUMBLEBUND,shopping
2025-12-01,1.78,Circle K 03228,transport
2025-12-01,300.00,Venmo Payment,shopping
2025-12-01,180.00,Affirm.Com Payme Affirm.Com,shopping
2025-12-01,74.26,Target Card Srvc Payment,shopping
2025-12-01,46.08,Wal Mart 1170,groceries
2025-12-02,-65.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-12-02,7.17,Wal Mart 4524,groceries
2025-12-02,25.60,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2025-12-03,21.19,PAYPAL *STEAM GAMES,entertainment
2025-12-03,3.94,Wal Mart 4524,groceries
2025-12-03,6.36,Circle K 03228,transport
2025-12-04,37.74,Wal Mart 4524,groceries
2025-12-05,25.44,Tst Dirty Bird Louisvi,shopping
2025-12-06,31.79,OCULUS *ULK3T796Z2,shopping
2025-12-07,3.70,PAYPAL *STEAM GAMES,entertainment
2025-12-10,96.70,Wal Mart 1170,groceries
2025-12-11,6.18,PAYPAL *STEAM GAMES,entertainment
2025-12-11,13.91,CIRCLE K 03228,transport
2025-12-12,26.46,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2025-12-12,20.00,Venmo Payment,shopping
2025-12-13,54.53,INTEREST CHARGE:PURCHASES,bills
2025-12-14,14.61,WM SUPERCENTER #4524,shopping
2025-12-14,29.36,KROGER #785,groceries
2025-12-15,26.36,SAMS CLUB #8276,shopping
2025-12-15,51.89,Wm Supercenter 4524,shopping
2025-12-16,5.94,HOBBY-LOBBY #640,shopping
2025-12-16,10.49,Circle K 03228 5203 Gr,transport
2025-12-16,11.00,Venmo Payment,shopping
2025-12-17,21.20,FIVE BELOW 7165,shopping
2025-12-17,6.61,WALGREENS #4163,gym
2025-12-17,9.53,WALGREENS #4163,gym
2025-12-18,25.42,BURGER KING #27070,fastfood
2025-12-18,50.00,Amazon.com*FZ9K75CZ3,shopping
2025-12-19,8.03,THORNTONS #0056,transport
2025-12-19,6.24,USPS PO 2048050058,shopping
2025-12-19,67.24,WAL-MART #1170,groceries
2025-12-19,9.99,GOOGLE *YouTube Member,shopping
2025-12-19,24.66,AMAZON MKTPL*JN8XJ6S03,shopping
2025-12-19,40.00,Venmo Payment,shopping
2025-12-20,11.65,CHICK-FIL-A #03587,fastfood
2025-12-20,48.07,HOBBY-LOBBY #640,shopping
2025-12-20,44.36,HOBBY-LOBBY #640,shopping
2025-12-20,7.41,PAYPAL *STEAM GAMES,entertainment
2025-12-20,25.00,CS *SCHLOTZSKYS GC,shopping
2025-12-21,4.45,"ETSY, INC.",shopping
2025-12-22,-8.27,Refund: HOBBY-LOBBY #640,shopping
2025-12-22,-7.66,Refund: SAMS CLUB #8276,shopping
2025-12-22,13.29,SAMS CLUB #8276,shopping
2025-12-22,126.32,SAMSCLUB #8276,groceries
2025-12-22,3.17,VIET HOA FOOD MARKET,groceries
2025-12-22,89.52,WAL-MART #4524,groceries
2025-12-22,46.71,KROGER #785,groceries
2025-12-23,87.24,Target Card Srvc Payment,shopping
2025-12-23,18.72,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2025-12-24,8.77,CIRCLE K 03228,transport
2025-12-24,29.21,WM SUPERCENTER #4524,shopping
2025-12-24,7.94,PAYPAL *STEAM GAMES,entertainment
2025-12-24,4.23,PAYPAL *STEAM GAMES,entertainment
2025-12-26,15.04,WAL-MART #4524,groceries
2025-12-26,4.99,PAYPAL *ROBLOXCORPO,shopping
2025-12-26,33.90,AMAZON MKTPL*CQ53M1SD3,shopping
2025-12-27,35.47,JIMMY JOHNS - 4387,fastfood
2025-12-27,10.59,PAYPAL *STEAM GAMES,entertainment
2025-12-27,20.03,AMAZON MKTPL*US44J6HI3,shopping
2025-12-29,15.33,SAMS CLUB #8276,shopping
2025-12-29,178.82,SAMSCLUB #8276,groceries
2025-12-29,18.74,SAMSCLUB #8276,groceries
2025-12-29,-33.90,Refund: AMAZON MKTPLACE PMTS,shopping
2025-12-29,29.67,AMAZON MKTPL*VM6A90E83,shopping
2025-12-29,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-12-29,17.62,Wal Mart 4524,groceries
2025-12-29,11.28,Circle K 03228,transport
2025-12-30,41.80,Amazon.com*AK01X5A43,shopping
2025-12-30,42.38,AMAZON MKTPL*NU8911Q33,shopping
2025-12-30,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-12-30,70.41,Wm Supercenter 4524,shopping
2025-12-31,-111.11,Refund: CAPITAL ONE MOBILE PYMT,transport
2025-12-31,16.57,Wal Mart 4524,groceries
2025-12-31,300.00,Venmo Payment,shopping
2025-12-31,183.81,Affirm.Com Payme Affirm.Com,shopping
2026-01-01,-4.55,Refund: CREDIT-CASH BACK REWARD,shopping
2026-01-01,10.59,PAYPAL *STEAM GAMES,entertainment
2026-01-02,6.36,PAYPAL *EPIC GAMES,shopping
2026-01-02,14.31,PAYPAL *EPIC GAMES,shopping
2026-01-02,11.62,PAYPAL *KINGUINDIGI,shopping
2026-01-02,59.85,Target Card Srvc Payment,shopping
2026-01-02,24.84,Wm Supercenter 4524,shopping
2026-01-03,-112.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-01-06,2.96,PAYPAL *STEAM GAMES,entertainment
2026-01-06,-41.80,Refund: Amazon.com,shopping
2026-01-07,3.13,Circle K 03228 5203 Gr,transport
2026-01-07,93.85,Wal Mart 4524,groceries
2026-01-07,28.11,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2026-01-08,20.82,Wm Supercenter 1170,shopping
2026-01-12,-120.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-01-12,3.13,Circle K 03228 5203 Gr,transport
2026-01-13,98.58,Amazon.com*0O2A61NJ3,shopping
2026-01-14,21.19,TEBEX.ORG,shopping
2026-01-14,-21.19,Refund: AMAZON MKTPLACE PMTS,shopping
2026-01-14,-21.19,Refund: AMAZON MKTPLACE PMTS,shopping
2026-01-14,63.21,INTEREST CHARGE:PURCHASES,bills
2026-01-14,3.13,Circle K 03228 5203 Gr,transport
2026-01-14,24.15,Tst Roosters Dixie H,fastfood
2026-01-15,7.82,Circle K 03228 5203 Gr,transport
2026-01-15,8.71,Circle K 03228 5203 Gr,transport
2026-01-16,21.19,TEBEX.ORG,shopping
2026-01-17,15.00,ZYGORGUIDES.COM,shopping
2026-01-19,82.66,KY.GOV-KYRENEW,shopping
2026-01-19,95.09,BLIZZARD *US1029672825,shopping
2026-01-19,10.55,AMAZON MKTPL*179ZK0K13,shopping
2026-01-19,30.20,AMAZON MKTPL*007EY5H73,shopping
2026-01-20,9.53,Jimmy Johns 4387,fastfood
2026-01-21,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-01-22,46.47,WAL-MART #4524,groceries
2026-01-22,-30.20,Refund: AMAZON MKTPLACE PMTS,shopping
2026-01-22,8.06,AMAZON MKTPL*MI2IA77H3,shopping
2026-01-22,106.62,Samsclub 8276,groceries
2026-01-22,2.51,Circle K 03228,transport
2026-01-23,59.14,TST*DIRTY BIRD - LOUISVI,fastfood
2026-01-23,11.17,CIRCLE K 03228,transport
2026-01-23,5.28,AMAZON MKTPL*MM5E894J3,shopping
2026-01-23,30.35,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2026-01-23,28.02,Hobby Lobby 640,shopping
2026-01-24,18.01,PAYPAL *STEAM GAMES,entertainment
2026-01-24,3.81,PAYPAL *STEAM GAMES,entertainment
2026-01-26,13.98,Pizza Hut 036951,fastfood
2026-01-28,18.79,Amazon.com*JI3ZF6353,shopping
2026-01-28,6.23,PAYPAL *STEAM GAMES,entertainment
2026-01-28,9.99,GOOGLE *YouTube Member,shopping
2026-01-28,93.87,Wal Mart 4524,groceries
2026-01-28,31.46,Kroger 785,groceries
2026-01-29,10.58,HOBBY-LOBBY #640,shopping
2026-01-30,-500.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-01,92.86,BLIZZARD *US1031278149,shopping
2026-02-02,-400.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-02,17.40,Kroger 785,groceries
2026-02-02,5.10,Kroger 785 4915A Dixie,groceries
2026-02-02,6.25,Circle K 03228 5203 Gr,transport
2026-02-02,325.00,Venmo Payment,shopping
2026-02-02,168.30,Target Card Srvc Payment,shopping
2026-02-03,209.69,Samsclub 8276,groceries
2026-02-03,14.82,Sams Club 8276,shopping
2026-02-04,13.65,Wm Supercenter 4524,shopping
2026-02-04,24.15,Tst Roosters Dixie H,fastfood
2026-02-06,4.17,OCULUS *FPD8DEH5Z2,shopping
2026-02-07,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-07,25.08,Amazon.com*O51SN54S3,shopping
2026-02-07,10.59,OCULUS *HEWDSED5Z2,shopping
2026-02-09,6.25,Circle K 03228 5203 Gr,transport
2026-02-09,20.13,Five Below 7165,shopping
2026-02-09,54.42,Hobbylobby,shopping
2026-02-09,106.58,Wm Supercenter 4524,shopping
2026-02-09,16.43,Jimmy Johns 4387,fastfood
2026-02-09,7.82,Circle K 03228,transport
2026-02-10,9.52,SAMS CLUB #8276,shopping
2026-02-10,180.71,Sams Club 8276,shopping
2026-02-10,5.30,Sams Club 8276,shopping
2026-02-10,8.11,Indis Fast Food,shopping
2026-02-10,30.73,High Spirit Liquor,shopping
2026-02-10,13.98,Pizza Hut 036951,fastfood
2026-02-11,62.64,HOBBY-LOBBY #640,shopping
2026-02-11,57.20,INTEREST CHARGE:PURCHASES,bills
2026-02-11,23.10,Tst Roosters Dixie H,fastfood
2026-02-12,21.20,OPENAI *CHATGPT SUBSCR,shopping
2026-02-12,23.00,Wal Mart 4524,groceries
2026-02-13,26.71,Amazon.com*9Z08Q8FB3,shopping
2026-02-13,13.38,AMAZON MKTPL*1Y9XP1D13,shopping
2026-02-13,10.12,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2026-02-14,24.86,WAL-MART #4524,groceries
2026-02-14,10.24,WM SUPERCENTER #4524,shopping
2026-02-14,-26.71,Refund: Amazon.com,shopping
2026-02-15,49.82,Amazon.com*VV6KU1V23,shopping
2026-02-16,66.73,SAMS CLUB #8276,shopping
2026-02-16,13.29,SAMS CLUB #8276,shopping
2026-02-17,9.94,PAYPAL *KINGUINDIGI,shopping
2026-02-17,15.00,ZYGORGUIDES.COM,shopping
2026-02-18,1.29,WM SUPERCENTER #4524,shopping
2026-02-18,22.61,WAL-MART #1170,groceries
2026-02-18,6.35,KROGER #785,groceries
2026-02-18,-100.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-18,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-18,15.89,BLIZZARD *US1033756608,shopping
2026-02-18,1.05,Circle K 03228 5203 Gr,transport
2026-02-19,21.38,HOBBY-LOBBY #640,shopping
2026-02-19,7.20,Circle K 03228 5203 Gr,transport
2026-02-19,24.61,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2026-02-19,13.73,Target Card Srvc Payment,shopping
2026-02-22,91.68,WM SUPERCENTER #4524,shopping
2026-02-22,6.39,PAYPAL *NINTENDOAME,entertainment
2026-02-23,3.12,Wal Mart 4524,groceries
2026-02-24,9.17,KROGER #785,groceries
2026-02-24,35.30,TST* ROOSTERS  - DIXIE HW,fastfood
2026-02-24,6.86,Kroger 785 4915A Dixie,groceries
2026-02-25,6.81,Circle K 03228 5203 Gr,transport
2026-02-26,-3.92,Refund: SAMS CLUB #8276,shopping
2026-02-26,208.59,SAMS CLUB #8276,shopping
2026-02-26,14.82,SAMS CLUB #8276,shopping
2026-02-26,-9.34,Refund: SAMSCLUB #8276,groceries
2026-02-26,26.00,PICABOO YEARBOOKS,shopping
2026-02-27,-700.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-02-27,-3.72,Refund: CREDIT-CASH BACK REWARD,shopping
2026-02-28,10.65,GOOGLE *Roblox,shopping
2026-03-02,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-03-02,-300.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-03-02,24.01,Kroger 785,groceries
2026-03-02,20.04,Kroger Fuel 878 4915 Di,groceries
2026-03-02,325.00,Venmo Payment,shopping
2026-03-02,13.49,Venmo Payment,shopping
2026-03-02,14.18,Wal Mart 4524,groceries
2026-03-03,7.41,AMAZON MKTPL*BE0AX10R1,shopping
2026-03-03,15.89,BLIZZARD *US1035822152,shopping
2026-03-03,-2.37,Refund: CREDIT-CASH BACK REWARD,shopping
2026-03-03,47.68,Amazon.com*BP1V86FP2,shopping
2026-03-03,51.57,Wm Supercenter 4524,shopping
2026-03-04,-8.87,Refund: SAMS CLUB #8276,shopping
2026-03-04,27.45,Samsclub 8276,groceries
2026-03-04,173.89,Samsclub 8276,groceries
2026-03-04,5.30,Samsclub 8276,groceries
2026-03-04,230.16,Geico Auto 800 841 3000 * Dc,bills
2026-03-04,41.09,Tst Roosters Dixie H,fastfood
2026-03-05,109.96,Jm Auto Llc,shopping
2026-03-06,55.05,AMAZON MKTPL*BP2MD9BY2,shopping
2026-03-06,15.57,Circle K 03228,transport
2026-03-08,31.79,OCULUS *P9PP4HH5Z2,shopping
2026-03-09,0.84,Circle K 03228,transport
2026-03-09,45.00,Wal Mart 4524,groceries
2026-03-09,2.99,Jimmy Johns 4387,fastfood
2026-03-09,21.48,Jimmy Johns 4387,fastfood
2026-03-10,-55.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-03-10,6.25,Circle K 03228,transport
2026-03-11,39.21,AMAZON MKTPL*BD5YR40C2,shopping
2026-03-11,3.13,Circle K 03228,transport
2026-03-11,11.19,Wm Supercenter 4524,shopping
2026-03-11,24.15,Tst Roosters Dixie H,fastfood
2026-03-12,-26.49,Refund: Amazon.com,shopping
2026-03-12,-21.19,Refund: Amazon.com,shopping
2026-03-12,-25.39,Refund: AMAZON MKTPLACE PMTS,shopping
2026-03-12,2.10,Circle K 03228,transport
2026-03-12,28.10,Wal Mart 4524,groceries
2026-03-13,11.61,Circle K 03228,transport
2026-03-13,25.98,Meijer Store 162,groceries
2026-03-14,56.06,INTEREST CHARGE:PURCHASES,bills
2026-03-16,13.97,Samsclub 8276,groceries
2026-03-16,14.82,Sams Club 8276,shopping
2026-03-16,14.82,Domino S 1436,fastfood
2026-03-17,2.52,Circle K 03228,transport
2026-03-18,15.89,BLIZZARD *US1037726448,shopping
2026-03-18,3.13,Circle K 03228,transport
2026-03-19,3.15,Circle K 03228,transport
2026-03-20,7.98,VIET HOA FOOD MARKET,groceries
2026-03-20,27.12,BJ WHOLESALE #0240,shopping
2026-03-20,45.86,SAMSCLUB #8276,groceries
2026-03-20,29.64,AMAZON MKTPL*BD5IQ8SL1,shopping
2026-03-20,9.52,Sams Club 8276,shopping
2026-03-21,40.00,ZYGORGUIDES.COM,shopping
2026-03-21,75.23,AMAZON MKTPL*BG4525OC2,shopping
2026-03-22,15.20,SAMSCLUB #8276,groceries
2026-03-23,11.61,CIRCLE K 03228,transport
2026-03-23,110.35,WAL-MART #4524,groceries
2026-03-23,45.98,Circle K Mid-Wes Preauthpmt Circle K - M-5203 Gre Oodlouisville Ky,transport
2026-03-24,139.72,WAL-MART #1170,groceries
2026-03-24,-39.21,Refund: AMAZON MKTPLACE PMTS,shopping
2026-03-25,-5.06,Refund: CREDIT-CASH BACK REWARD,shopping
2026-03-26,9.14,CIRCLE K 03228,transport
2026-03-26,30.18,AMAZON MKTPL*BG8E83IA2,shopping
2026-03-26,4.00,Thorntons 0050 0050,transport
2026-03-26,10.42,Kroger 785,groceries
2026-03-28,10.65,Google Roblox,shopping
2026-03-29,114.56,SAMS CLUB #8276,shopping
2026-03-30,37.13,WAL-MART #4524,groceries
2026-03-30,13.72,Sams Club 8276,shopping
2026-03-30,7.40,Kroger 785 4915A Dixie,groceries
2026-03-31,-2.66,Refund: CREDIT-CASH BACK REWARD,shopping
2026-03-31,-10.58,Refund: AMAZON MKTPLACE PMTS,shopping
2026-03-31,-9.53,Refund: AMAZON MKTPLACE PMTS,shopping
2026-03-31,-9.53,Refund: AMAZON MKTPLACE PMTS,shopping
2026-03-31,18.91,TST* ROOSTERS  - DIXIE HW,fastfood
2026-03-31,14.82,Samsclub 8276,groceries
2026-04-01,-700.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-01,27.00,Venmo Payment,shopping
2026-04-02,9.14,Circle K 03228,transport
2026-04-02,325.00,Venmo Payment,shopping
2026-04-02,38.82,Venmo Payment,shopping
2026-04-02,230.11,Geico Auto 800 841 3000 * Dc,bills
2026-04-03,-0.25,Refund: CREDIT-CASH BACK REWARD,shopping
2026-04-03,-75.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-03,126.88,Wal Mart 5417,groceries
2026-04-03,144.64,Samsclub 8276,groceries
2026-04-03,15.82,Samsclub 8276,groceries
2026-04-04,27.54,AMAZON MKTPL*B74746PF2,shopping
2026-04-04,15.89,BLIZZARD *US1039529878,shopping
2026-04-05,47.69,SP YEEPS.COM,shopping
2026-04-06,-150.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-06,16.95,Circle K 03228,transport
2026-04-06,76.82,Target Card Srvc Payment,shopping
2026-04-06,74.10,Kroger 785,groceries
2026-04-06,58.50,Meijer Store 162,groceries
2026-04-06,38.34,Wm Supercenter 4524,shopping
2026-04-07,-35.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-07,16.66,PAYPAL *STEAM GAMES,entertainment
2026-04-07,15.07,AMAZON MKTPL*BC82S1FN0,shopping
2026-04-07,4.98,Wal Mart 4524,groceries
2026-04-07,52.13,Wal Mart 4524,groceries
2026-04-07,39.85,Jimmy Johns 4387,fastfood
2026-04-08,55.42,CIRCLE K MIDWEST PREAUTHPMT Circle K M5203 Green d,transport
2026-04-09,22.05,WENDYS 7550,fastfood
2026-04-09,156.00,LOUISVILLE ZOO ONLINE,shopping
2026-04-09,162.98,SAMS CLUB #8276,shopping
2026-04-10,-111.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-10,3.35,Circle K 03228,transport
2026-04-11,-123.45,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-13,0.01,ABC*P 08039 PF DIXIE HWY,shopping
2026-04-13,51.91,INTEREST CHARGE:PURCHASES,bills
2026-04-13,3.13,Circle K 03228,transport
2026-04-13,19.36,Kroger 785,groceries
2026-04-13,17.43,Wal Mart 4524,groceries
2026-04-14,-42.33,Refund: WM SUPERCENTER #1170,shopping
2026-04-14,12.82,PIZZA HUT 036951,fastfood
2026-04-14,171.39,WM SUPERCENTER #1170,shopping
2026-04-14,-4.65,Refund: CREDIT-CASH BACK REWARD,shopping
2026-04-14,14.09,Thorntons 0056 0056,transport
2026-04-15,108.37,Meijer Store 162,groceries
2026-04-15,30.29,Tst Roosters Dixie H,fastfood
2026-04-16,38.73,SAMS CLUB #8276,shopping
2026-04-16,5.30,SAMSCLUB #8276,groceries
2026-04-17,10.74,Amazon.com*B71Y186P0,shopping
2026-04-17,15.90,ABC*PLANET FITNESS DIXIE,gym
2026-04-17,7.09,Circle K 03228 5203 Gr,transport
2026-04-17,8.48,Viet Hoa Food Market,groceries
2026-04-17,4.88,Prp Ice Cream Corner,shopping
2026-04-18,4.32,WENDY'S 807,fastfood
2026-04-18,25.95,WENDY'S 807,fastfood
2026-04-19,32.90,STUDENTREASURES PUBLISHI,shopping
2026-04-20,6.36,Iga Express 88 Cave City * Ky,shopping
2026-04-21,26.38,TST* ROOSTERS  - DIXIE HW,fastfood
2026-04-21,6.25,Circle K 03228 5203 Gr,transport
2026-04-22,11.00,Scholastic Education,shopping
2026-04-22,10.00,PAYPAL *PATREON MEMBERSH,entertainment
2026-04-22,28.91,CIRCLE K MIDWEST PREAUTHPMT Circle K M5203 Green d,transport
2026-04-23,-155.00,Refund: LOUISVILLE ZOO ONLINE,shopping
2026-04-23,3.04,THORNTONS #0050,transport
2026-04-23,50.00,LOUISVILLE ZOO,shopping
2026-04-23,2395.29,JM AUTO LLC,shopping
2026-04-23,73.13,AMAZON MKTPL*BJ1YC8EW2,shopping
2026-04-23,6.86,PAYPAL *STEAM GAMES,entertainment
2026-04-23,7.62,PAYPAL *STEAM GAMES,entertainment
2026-04-23,12.25,AMAZON MKTPL*BJ0V153W2,shopping
2026-04-24,7.62,PAYPAL *STEAM GAMES,entertainment
2026-04-24,15.21,SAMS CLUB #8276,shopping
2026-04-24,9.53,PAYPAL *STEAM GAMES,entertainment
2026-04-24,7.62,PAYPAL *STEAM GAMES,entertainment
2026-04-24,63.49,Sams Club 8276,shopping
2026-04-25,-25.00,Refund: CASH BACK,shopping
2026-04-26,25.22,McDonalds 11126,fastfood
2026-04-26,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-27,13.97,Kroger 780,groceries
2026-04-27,10.00,Mcdonald S F10593,fastfood
2026-04-27,5.30,Walgreens Store 10201 Di,gym
2026-04-27,26.49,Ollies Bargain Outlet,shopping
2026-04-27,12.72,Lowe S 705,shopping
2026-04-27,9.91,Wal Mart 4524,groceries
2026-04-27,10.97,Jimmy Johns 4387,fastfood
2026-04-28,27.51,PENN STATION - 93,shopping
2026-04-28,10.65,Google Roblox,shopping
2026-04-28,14.84,Circle K 03228 5203 Gr,transport
2026-04-28,7.09,Circle K 03228 5203 Gr,transport
2026-04-28,10.58,Meijer Store 162,groceries
2026-04-28,4.54,Meijer Store 162,groceries
2026-04-29,-500.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-29,-700.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-04-29,0.99,APPLE.COM/BILL,bills
2026-04-29,21.31,APPLE.COM/BILL,bills
2026-04-29,54.05,CIRCLE K MIDWEST PREAUTHPMT Circle K M5203 Green d,transport
2026-04-29,24.15,Tst Roosters Dixie H,fastfood
2026-04-30,10.65,PAYPAL *NINTENDOAME,entertainment
2026-04-30,23.73,AMAZON MKTPL*BS84518F0,shopping
2026-04-30,6.25,Circle K 03228 5203 Gr,transport
2026-04-30,325.00,Venmo Payment,shopping
2026-05-02,5.37,CHICK-FIL-A #03587,fastfood
2026-05-02,39.14,CHICK-FIL-A #03587,fastfood
2026-05-02,4.76,PAYPAL *STEAM GAMES,entertainment
2026-05-02,9.43,PAYPAL *STEAM GAMES,entertainment
2026-05-02,9.99,Google YouTube Member,bills
2026-05-02,-50.00,Refund: CAPITAL ONE MOBILE PYMT,transport
2026-05-04,8.48,Circle K 03228 5203 Gr,transport
2026-05-04,89.85,Wal Mart 4524,groceries
2026-05-05,5.36,KY-IN RIVERLINK TOLL,transport
2026-05-05,110.32,Wm Supercenter 4524,shopping
2026-05-06,-16.92,Refund: SAMS CLUB #8276,shopping
2026-05-06,14.67,PAYPAL *STEAM GAMES,entertainment
2026-05-06,50.00,AMZN Digital*BJ9IC4SK0,bills
2026-05-06,10.05,Samsclub 8276,groceries
2026-05-06,93.54,Samsclub 8276,groceries
